******** random sequence config ********
dec: 2449470465, hex: 0x91fff401
dec: 558197121, hex: 0x21456981
dec: 3732375576, hex: 0xde778818
dec: 4123284235, hex: 0xf5c4530b
dec: 4009333150, hex: 0xeef9919e
dec: 3043011322, hex: 0xb560aafa
dec: 578315927, hex: 0x22786697
dec: 2504098094, hex: 0x9541812e
dec: 3485979617, hex: 0xcfc7d3e1
dec: 317551529, hex: 0x12ed73a9
dec: 2088516353, hex: 0x7c7c3b01
dec: 2708242641, hex: 0xa16c80d1
dec: 1752241053, hex: 0x6871139d
dec: 684292334, hex: 0x28c978ee
dec: 54879489, hex: 0x3456501
dec: 2190901166, hex: 0x82967fae
dec: 1910132892, hex: 0x71da509c
dec: 4251421859, hex: 0xfd678ca3
******** random sequence config ********

******** group idx: 0, burst idx: 0, slot idx: 0 ********
user id: dec: 1275120859, hex: 0x4c00ccdb, scb id: dec: 785577987, hex: 0x2ed2f803
user id: dec: 1375890813, hex: 0x52026d7d, scb id: dec: 4267567119, hex: 0xfe5de80f

******** group idx: 0, burst idx: 0, slot idx: 4 ********
user id: dec: 1597272437, hex: 0x5f347175, scb id: dec: 562567186, hex: 0x21881812
user id: dec: 651836800, hex: 0x26da3d80, scb id: dec: 4271429648, hex: 0xfe98d810
user id: dec: 3439523041, hex: 0xcd02f4e1, scb id: dec: 3529402384, hex: 0xd25e6810
user id: dec: 2810160945, hex: 0xa77fa731, scb id: dec: 2716454931, hex: 0xa1e9d013
user id: dec: 3006896603, hex: 0xb33999db, scb id: dec: 2491803664, hex: 0x9485e810
user id: dec: 712417727, hex: 0x2a76a1bf, scb id: dec: 2150899728, hex: 0x80342010
user id: dec: 4209660978, hex: 0xfaea5432, scb id: dec: 1294309395, hex: 0x4d259813
user id: dec: 1080508637, hex: 0x406740dd, scb id: dec: 229470224, hex: 0xdad7010
user id: dec: 1238987244, hex: 0x49d971ec, scb id: dec: 2967552018, hex: 0xb0e14012
user id: dec: 3239952599, hex: 0xc11dc0d7, scb id: dec: 4265971731, hex: 0xfe459013

******** group idx: 0, burst idx: 0, slot idx: 5 ********
user id: dec: 602607574, hex: 0x23eb0fd6, scb id: dec: 3843270677, hex: 0xe513a815
user id: dec: 2313918410, hex: 0x89eb97ca, scb id: dec: 2804174869, hex: 0xa7245015
user id: dec: 3510095625, hex: 0xd137cf09, scb id: dec: 1453545492, hex: 0x56a35814
user id: dec: 3872159565, hex: 0xe6cc774d, scb id: dec: 2417485847, hex: 0x9017e817
user id: dec: 339769913, hex: 0x14407a39, scb id: dec: 170911766, hex: 0xa2fe816
user id: dec: 3013870601, hex: 0xb3a40409, scb id: dec: 2993670165, hex: 0xb26fc815
user id: dec: 3882858077, hex: 0xe76fb65d, scb id: dec: 2575116309, hex: 0x997d2815
user id: dec: 3303287643, hex: 0xc4e42b5b, scb id: dec: 1860849687, hex: 0x6eea5017
user id: dec: 623832526, hex: 0x252eedce, scb id: dec: 3952623639, hex: 0xeb984017
user id: dec: 3433054648, hex: 0xcca041b8, scb id: dec: 3286208535, hex: 0xc3df9017

******** group idx: 0, burst idx: 0, slot idx: 6 ********
user id: dec: 1760777197, hex: 0x68f353ed, scb id: dec: 511105049, hex: 0x1e76d819
user id: dec: 991466784, hex: 0x3b189520, scb id: dec: 914685979, hex: 0x3685001b
user id: dec: 2008746079, hex: 0x77bb085f, scb id: dec: 1475190811, hex: 0x57eda01b
user id: dec: 2966778393, hex: 0xb0d57219, scb id: dec: 559992857, hex: 0x2160d019
user id: dec: 2653890063, hex: 0x9e2f260f, scb id: dec: 325511193, hex: 0x1366e819
user id: dec: 2643554434, hex: 0x9d917082, scb id: dec: 2120083482, hex: 0x7e5de81a
user id: dec: 3718702377, hex: 0xdda6e529, scb id: dec: 1670680602, hex: 0x6394901a
user id: dec: 3207273578, hex: 0xbf2b1c6a, scb id: dec: 2659807259, hex: 0x9e89701b
user id: dec: 3766084741, hex: 0xe079e485, scb id: dec: 135811098, hex: 0x818501a
user id: dec: 2967586766, hex: 0xb0e1c7ce, scb id: dec: 32421912, hex: 0x1eeb818

******** group idx: 0, burst idx: 0, slot idx: 7 ********
user id: dec: 681636278, hex: 0x28a0f1b6, scb id: dec: 3875967007, hex: 0xe706901f
user id: dec: 3566915282, hex: 0xd49aced2, scb id: dec: 3377270812, hex: 0xc94d101c
user id: dec: 2016434185, hex: 0x78305809, scb id: dec: 1727359004, hex: 0x66f5681c
user id: dec: 3874495719, hex: 0xe6f01ce7, scb id: dec: 3397505054, hex: 0xca81d01e
user id: dec: 3233356269, hex: 0xc0b919ed, scb id: dec: 268476446, hex: 0x1000a01e
user id: dec: 1279711157, hex: 0x4c46d7b5, scb id: dec: 1908127775, hex: 0x71bbb81f
user id: dec: 3848394325, hex: 0xe561d655, scb id: dec: 1800497183, hex: 0x6b51681f
user id: dec: 2531347308, hex: 0x96e14b6c, scb id: dec: 3617214493, hex: 0xd79a501d
user id: dec: 1335665134, hex: 0x4f9ca1ee, scb id: dec: 1499557919, hex: 0x5961701f
user id: dec: 1600998763, hex: 0x5f6d4d6b, scb id: dec: 3692120093, hex: 0xdc11481d

******** group idx: 0, burst idx: 1, slot idx: 0 ********
user id: dec: 4036213665, hex: 0xf093bba1, scb id: dec: 2112389154, hex: 0x7de88022
user id: dec: 3766048765, hex: 0xe07957fd, scb id: dec: 1985179680, hex: 0x76537020
user id: dec: 3446990754, hex: 0xcd74e7a2, scb id: dec: 1453572128, hex: 0x56a3c020
user id: dec: 3154861018, hex: 0xbc0b5bda, scb id: dec: 3304589346, hex: 0xc4f80822
user id: dec: 962364764, hex: 0x395c855c, scb id: dec: 3367125025, hex: 0xc8b24021
user id: dec: 937843534, hex: 0x37e65b4e, scb id: dec: 4034336801, hex: 0xf0771821
user id: dec: 1327577188, hex: 0x4f213864, scb id: dec: 2364022819, hex: 0x8ce82023
user id: dec: 3174381463, hex: 0xbd353797, scb id: dec: 2486345763, hex: 0x9432a023
user id: dec: 2100865854, hex: 0x7d38ab3e, scb id: dec: 1195438112, hex: 0x4740f020
user id: dec: 4000915249, hex: 0xee791f31, scb id: dec: 1255663651, hex: 0x4ad7e823

******** group idx: 0, burst idx: 1, slot idx: 1 ********
user id: dec: 547128939, hex: 0x209c866b, scb id: dec: 3473842215, hex: 0xcf0ea027
user id: dec: 1837211211, hex: 0x6d819e4b, scb id: dec: 4221233189, hex: 0xfb9ae825
user id: dec: 1202761719, hex: 0x47b0aff7, scb id: dec: 4154734628, hex: 0xf7a43824
user id: dec: 4160202908, hex: 0xf7f7a89c, scb id: dec: 1909076004, hex: 0x71ca3024
user id: dec: 1414501090, hex: 0x544f92e2, scb id: dec: 3024293926, hex: 0xb4431026
user id: dec: 3048803959, hex: 0xb5b90e77, scb id: dec: 90697767, hex: 0x567f027
user id: dec: 2674211116, hex: 0x9f65392c, scb id: dec: 685864996, hex: 0x28e17824
user id: dec: 1853523528, hex: 0x6e7a8648, scb id: dec: 2403082276, hex: 0x8f3c2024
user id: dec: 4054544386, hex: 0xf1ab7002, scb id: dec: 2334128165, hex: 0x8b1ff825
user id: dec: 601624687, hex: 0x23dc106f, scb id: dec: 1704149029, hex: 0x65934025

******** group idx: 0, burst idx: 1, slot idx: 2 ********
user id: dec: 383060927, hex: 0x16d50bbf, scb id: dec: 4152223786, hex: 0xf77de82a
user id: dec: 3716937370, hex: 0xdd8bf69a, scb id: dec: 2678841384, hex: 0x9fabe028
user id: dec: 3239887692, hex: 0xc11cc34c, scb id: dec: 1365497897, hex: 0x5163d829
user id: dec: 1113910348, hex: 0x4264ec4c, scb id: dec: 4270549033, hex: 0xfe8b6829
user id: dec: 2415707246, hex: 0x8ffcc46e, scb id: dec: 3150800937, hex: 0xbbcd6829
user id: dec: 3016020799, hex: 0xb3c4d33f, scb id: dec: 4276582443, hex: 0xfee7782b
user id: dec: 2885086384, hex: 0xabf6ecb0, scb id: dec: 3018018856, hex: 0xb3e35028
user id: dec: 716206510, hex: 0x2ab071ae, scb id: dec: 3096387624, hex: 0xb88f2028
user id: dec: 2262545937, hex: 0x86dbb611, scb id: dec: 346591275, hex: 0x14a8902b
user id: dec: 3077800425, hex: 0xb77381e9, scb id: dec: 3523135530, hex: 0xd1fec82a

******** group idx: 0, burst idx: 1, slot idx: 3 ********
user id: dec: 1250206086, hex: 0x4a84a186, scb id: dec: 3425345581, hex: 0xcc2aa02d
user id: dec: 947098412, hex: 0x3873932c, scb id: dec: 156368942, hex: 0x952002e
user id: dec: 2345392778, hex: 0x8bcbda8a, scb id: dec: 1703047212, hex: 0x6582702c
user id: dec: 2876058472, hex: 0xab6d2b68, scb id: dec: 2566199340, hex: 0x98f5182c
user id: dec: 4215788499, hex: 0xfb47d3d3, scb id: dec: 2895853614, hex: 0xac9b382e
user id: dec: 3973980508, hex: 0xecde215c, scb id: dec: 225849391, hex: 0xd76302f
user id: dec: 3130405362, hex: 0xba9631f2, scb id: dec: 3404980269, hex: 0xcaf3e02d
user id: dec: 720323722, hex: 0x2aef448a, scb id: dec: 4181301292, hex: 0xf939982c
user id: dec: 3361612152, hex: 0xc85e2178, scb id: dec: 224993324, hex: 0xd69202c
user id: dec: 3762100657, hex: 0xe03d19b1, scb id: dec: 881442862, hex: 0x3489c02e

******** group idx: 0, burst idx: 1, slot idx: 4 ********
user id: dec: 4108906638, hex: 0xf4e8f08e, scb id: dec: 666325042, hex: 0x27b75032
user id: dec: 2330084473, hex: 0x8ae24479, scb id: dec: 1673578545, hex: 0x63c0c831
user id: dec: 1802359383, hex: 0x6b6dd257, scb id: dec: 817221680, hex: 0x30b5d030
user id: dec: 586774640, hex: 0x22f97870, scb id: dec: 2809833522, hex: 0xa77aa832
user id: dec: 2583619379, hex: 0x99fee733, scb id: dec: 1751451697, hex: 0x68650831
user id: dec: 3631873468, hex: 0xd879fdbc, scb id: dec: 4205684787, hex: 0xfaada833
user id: dec: 365822379, hex: 0x15ce01ab, scb id: dec: 2015756337, hex: 0x78260031
user id: dec: 386551621, hex: 0x170a4f45, scb id: dec: 2730502193, hex: 0xa2c02831
user id: dec: 577773409, hex: 0x22701f61, scb id: dec: 2117888051, hex: 0x7e3c6833
user id: dec: 324779763, hex: 0x135bbef3, scb id: dec: 4181825587, hex: 0xf9419833

******** group idx: 0, burst idx: 1, slot idx: 5 ********
user id: dec: 3625179883, hex: 0xd813daeb, scb id: dec: 495921205, hex: 0x1d8f2835
user id: dec: 1666451606, hex: 0x63540896, scb id: dec: 287154231, hex: 0x111da037
user id: dec: 4228017787, hex: 0xfc026e7b, scb id: dec: 2159743028, hex: 0x80bb1034
user id: dec: 1171922697, hex: 0x45da1f09, scb id: dec: 2481326133, hex: 0x93e60835
user id: dec: 2804799389, hex: 0xa72dd79d, scb id: dec: 3707258935, hex: 0xdcf84837
user id: dec: 615640799, hex: 0x24b1eedf, scb id: dec: 67176501, hex: 0x4010835
user id: dec: 3732990265, hex: 0xde80e939, scb id: dec: 824993845, hex: 0x312c6835
user id: dec: 1959631349, hex: 0x74cd99f5, scb id: dec: 1133869108, hex: 0x43957834
user id: dec: 2810619360, hex: 0xa786a5e0, scb id: dec: 1426907191, hex: 0x550ce037
user id: dec: 1835595024, hex: 0x6d68f510, scb id: dec: 3727712308, hex: 0xde306034

******** group idx: 0, burst idx: 1, slot idx: 6 ********
user id: dec: 2443830795, hex: 0x91a9e60b, scb id: dec: 460955706, hex: 0x1b79a03a
user id: dec: 1652044574, hex: 0x6278331e, scb id: dec: 972902458, hex: 0x39fd503a
user id: dec: 2221338407, hex: 0x8466ef27, scb id: dec: 672956475, hex: 0x281c803b
user id: dec: 3073683728, hex: 0xb734b110, scb id: dec: 471326779, hex: 0x1c17e03b
user id: dec: 1286886592, hex: 0x4cb454c0, scb id: dec: 3052204090, hex: 0xb5ecf03a
user id: dec: 2677303634, hex: 0x9f946952, scb id: dec: 2006986810, hex: 0x77a0303a
user id: dec: 2822723335, hex: 0xa83f5707, scb id: dec: 3134148667, hex: 0xbacf503b
user id: dec: 2447440132, hex: 0x91e0f904, scb id: dec: 3095187515, hex: 0xb87cd03b
user id: dec: 4091709616, hex: 0xf3e288b0, scb id: dec: 1814786106, hex: 0x6c2b703a
user id: dec: 3948349312, hex: 0xeb570780, scb id: dec: 3329685562, hex: 0xc676f83a

******** group idx: 0, burst idx: 1, slot idx: 7 ********
user id: dec: 3288165189, hex: 0xc3fd6b45, scb id: dec: 3772876862, hex: 0xe0e1883e
user id: dec: 2901756149, hex: 0xacf548f5, scb id: dec: 4242599998, hex: 0xfce0f03e
user id: dec: 2250659359, hex: 0x8626561f, scb id: dec: 3175901245, hex: 0xbd4c683d
user id: dec: 3370217124, hex: 0xc8e16ea4, scb id: dec: 2650234940, hex: 0x9df7603c
user id: dec: 3366770951, hex: 0xc8acd907, scb id: dec: 747687996, hex: 0x2c90d03c
user id: dec: 1109408829, hex: 0x42203c3d, scb id: dec: 3780094015, hex: 0xe14fa83f
user id: dec: 1431926350, hex: 0x5559764e, scb id: dec: 2495569980, hex: 0x94bf603c
user id: dec: 424316340, hex: 0x194a8db4, scb id: dec: 2598174780, hex: 0x9add003c
user id: dec: 505048388, hex: 0x1e1a6d44, scb id: dec: 655527996, hex: 0x2712903c
user id: dec: 3725322054, hex: 0xde0be746, scb id: dec: 34066492, hex: 0x207d03c

******** group idx: 0, burst idx: 2, slot idx: 0 ********
user id: dec: 3968734119, hex: 0xec8e13a7, scb id: dec: 2587785283, hex: 0x9a3e7843
user id: dec: 1335358244, hex: 0x4f97f324, scb id: dec: 2505484352, hex: 0x9556a840
user id: dec: 2860053755, hex: 0xaa78f4fb, scb id: dec: 2544087104, hex: 0x97a3b040
user id: dec: 4136534445, hex: 0xf68e81ad, scb id: dec: 490049600, hex: 0x1d359040
user id: dec: 1609538216, hex: 0x5fef9aa8, scb id: dec: 3563485251, hex: 0xd4667843
user id: dec: 1475299524, hex: 0x57ef48c4, scb id: dec: 2088929345, hex: 0x7c828841
user id: dec: 2792776906, hex: 0xa67664ca, scb id: dec: 3826921537, hex: 0xe41a3041
user id: dec: 814319529, hex: 0x308987a9, scb id: dec: 2882814019, hex: 0xabd44043
user id: dec: 2211313578, hex: 0x83cdf7aa, scb id: dec: 2256257089, hex: 0x867bc041
user id: dec: 1389105157, hex: 0x52cc1005, scb id: dec: 2942771266, hex: 0xaf672042

******** group idx: 0, burst idx: 2, slot idx: 1 ********
user id: dec: 998857075, hex: 0x3b895973, scb id: dec: 608936007, hex: 0x244ba047
user id: dec: 2181905406, hex: 0x820d3bfe, scb id: dec: 1039925317, hex: 0x3dfc0045
user id: dec: 3082982066, hex: 0xb7c292b2, scb id: dec: 1959737412, hex: 0x74cf3844
user id: dec: 3847354323, hex: 0xe551f7d3, scb id: dec: 3511527494, hex: 0xd14da846
user id: dec: 4035875937, hex: 0xf08e9461, scb id: dec: 815681606, hex: 0x309e5046
user id: dec: 3197222887, hex: 0xbe91bfe7, scb id: dec: 2789333063, hex: 0xa641d847
user id: dec: 2452499957, hex: 0x922e2df5, scb id: dec: 1056544836, hex: 0x3ef99844
user id: dec: 2388109335, hex: 0x8e57a817, scb id: dec: 3010179141, hex: 0xb36bb045
user id: dec: 1353803217, hex: 0x50b165d1, scb id: dec: 2887735367, hex: 0xac1f5847
user id: dec: 2651995628, hex: 0x9e123dec, scb id: dec: 3624859719, hex: 0xd80ef847

******** group idx: 0, burst idx: 2, slot idx: 2 ********
user id: dec: 3491581279, hex: 0xd01d4d5f, scb id: dec: 695691339, hex: 0x2977684b
user id: dec: 820472504, hex: 0x30e76ab8, scb id: dec: 2321707081, hex: 0x8a627049
user id: dec: 1946883556, hex: 0x740b15e4, scb id: dec: 4142166088, hex: 0xf6e47048
user id: dec: 2118122095, hex: 0x7e3ffa6f, scb id: dec: 2407569480, hex: 0x8f809848
user id: dec: 3054248295, hex: 0xb60c2167, scb id: dec: 4056543306, hex: 0xf1c9f04a
user id: dec: 1883260160, hex: 0x70404500, scb id: dec: 3737106507, hex: 0xdebfb84b
user id: dec: 2633681641, hex: 0x9cfacae9, scb id: dec: 1327962186, hex: 0x4f27184a
user id: dec: 1858876972, hex: 0x6ecc362c, scb id: dec: 1302618184, hex: 0x4da46048
user id: dec: 324006757, hex: 0x134ff365, scb id: dec: 1194692682, hex: 0x4735904a
user id: dec: 2589777077, hex: 0x9a5cdcb5, scb id: dec: 743127114, hex: 0x2c4b384a

******** group idx: 0, burst idx: 2, slot idx: 3 ********
user id: dec: 2898260001, hex: 0xacbff021, scb id: dec: 2281601100, hex: 0x87fe784c
user id: dec: 1537824964, hex: 0x5ba958c4, scb id: dec: 2063650892, hex: 0x7b00d04c
user id: dec: 3869355621, hex: 0xe6a1ae65, scb id: dec: 1087473743, hex: 0x40d1884f
user id: dec: 4002404193, hex: 0xee8fd761, scb id: dec: 3181547599, hex: 0xbda2904f
user id: dec: 1217156490, hex: 0x488c558a, scb id: dec: 2676426828, hex: 0x9f87084c
user id: dec: 4216851148, hex: 0xfb580acc, scb id: dec: 506665038, hex: 0x1e33184e
user id: dec: 3808040414, hex: 0xe2fa15de, scb id: dec: 128608335, hex: 0x7aa684f
user id: dec: 2470919691, hex: 0x93473e0b, scb id: dec: 3389188174, hex: 0xca02e84e
user id: dec: 2772296802, hex: 0xa53de462, scb id: dec: 2420084815, hex: 0x903f904f
user id: dec: 3188471998, hex: 0xbe0c38be, scb id: dec: 1517647948, hex: 0x5a75784c

******** group idx: 0, burst idx: 2, slot idx: 4 ********
user id: dec: 896835474, hex: 0x35749f92, scb id: dec: 367005779, hex: 0x15e01053
user id: dec: 3818565699, hex: 0xe39ab043, scb id: dec: 3324706899, hex: 0xc62b0053
user id: dec: 680641337, hex: 0x2891c339, scb id: dec: 467347537, hex: 0x1bdb2851
user id: dec: 630479126, hex: 0x25945916, scb id: dec: 2692356176, hex: 0xa07a1850
user id: dec: 1674057159, hex: 0x63c815c7, scb id: dec: 4187324499, hex: 0xf9958053
user id: dec: 702725010, hex: 0x29e2bb92, scb id: dec: 176758865, hex: 0xa892051
user id: dec: 2823648912, hex: 0xa84d7690, scb id: dec: 456220752, hex: 0x1b316050
user id: dec: 3540126841, hex: 0xd3020c79, scb id: dec: 3155599443, hex: 0xbc16a053
user id: dec: 3596542637, hex: 0xd65ee2ad, scb id: dec: 2257494098, hex: 0x868ea052
user id: dec: 811423178, hex: 0x305d55ca, scb id: dec: 1877993554, hex: 0x6fefe852

******** group idx: 0, burst idx: 2, slot idx: 5 ********
user id: dec: 4082704925, hex: 0xf359221d, scb id: dec: 4239966295, hex: 0xfcb8c057
user id: dec: 3061267204, hex: 0xb6773b04, scb id: dec: 3582629975, hex: 0xd58a9857
user id: dec: 2890432885, hex: 0xac488175, scb id: dec: 820574293, hex: 0x30e8f855
user id: dec: 3613914439, hex: 0xd767f547, scb id: dec: 3266873429, hex: 0xc2b88855
user id: dec: 3774898675, hex: 0xe10061f3, scb id: dec: 764657749, hex: 0x2d93c055
user id: dec: 3258016323, hex: 0xc2316243, scb id: dec: 1994573908, hex: 0x76e2c854
user id: dec: 1231356227, hex: 0x49650143, scb id: dec: 3358806100, hex: 0xc8335054
user id: dec: 485714955, hex: 0x1cf36c0b, scb id: dec: 658124887, hex: 0x273a3057
user id: dec: 3852541027, hex: 0xe5a11c63, scb id: dec: 1279680599, hex: 0x4c466057
user id: dec: 1318234199, hex: 0x4e92a857, scb id: dec: 1447534678, hex: 0x5647a056

******** group idx: 0, burst idx: 2, slot idx: 6 ********
user id: dec: 2377525885, hex: 0x8db62a7d, scb id: dec: 3390765147, hex: 0xca1af85b
user id: dec: 1007695030, hex: 0x3c1034b6, scb id: dec: 4204617818, hex: 0xfa9d605a
user id: dec: 3614125139, hex: 0xd76b2c53, scb id: dec: 1547864152, hex: 0x5c428858
user id: dec: 3969265024, hex: 0xec962d80, scb id: dec: 2345885785, hex: 0x8bd36059
user id: dec: 4237625473, hex: 0xfc950881, scb id: dec: 1646602330, hex: 0x6225285a
user id: dec: 1072656872, hex: 0x3fef71e8, scb id: dec: 1483354201, hex: 0x586a3059
user id: dec: 618750994, hex: 0x24e16412, scb id: dec: 688767066, hex: 0x290dc05a
user id: dec: 756401400, hex: 0x2d15c4f8, scb id: dec: 1621729370, hex: 0x60a9a05a
user id: dec: 750053262, hex: 0x2cb4e78e, scb id: dec: 3055032408, hex: 0xb6181858
user id: dec: 981924006, hex: 0x3a86f8a6, scb id: dec: 4065063001, hex: 0xf24bf059

******** group idx: 0, burst idx: 2, slot idx: 7 ********
user id: dec: 945937618, hex: 0x3861dcd2, scb id: dec: 3287763038, hex: 0xc3f7485e
user id: dec: 2157253008, hex: 0x80951190, scb id: dec: 643913823, hex: 0x2661585f
user id: dec: 1101950555, hex: 0x41ae6e5b, scb id: dec: 2687219804, hex: 0xa02bb85c
user id: dec: 2123911576, hex: 0x7e985198, scb id: dec: 414888030, hex: 0x18bab05e
user id: dec: 1746755976, hex: 0x681d6188, scb id: dec: 1627060316, hex: 0x60faf85c
user id: dec: 787116767, hex: 0x2eea72df, scb id: dec: 1272504415, hex: 0x4bd8e05f
user id: dec: 472798610, hex: 0x1c2e5592, scb id: dec: 876427358, hex: 0x343d385e
user id: dec: 870120949, hex: 0x33dcfdf5, scb id: dec: 656959583, hex: 0x2728685f
user id: dec: 3630927846, hex: 0xd86b8fe6, scb id: dec: 310050911, hex: 0x127b005f
user id: dec: 1429282808, hex: 0x55311ff8, scb id: dec: 2767276125, hex: 0xa4f1485d

******** group idx: 0, burst idx: 3, slot idx: 0 ********
user id: dec: 4126425647, hex: 0xf5f4422f, scb id: dec: 1084833891, hex: 0x40a94063
user id: dec: 2542302998, hex: 0x97887716, scb id: dec: 475680865, hex: 0x1c5a5061
user id: dec: 2405892719, hex: 0x8f67026f, scb id: dec: 3323777120, hex: 0xc61cd060
user id: dec: 1704055393, hex: 0x6591d261, scb id: dec: 1037418594, hex: 0x3dd5c062
user id: dec: 2083289735, hex: 0x7c2c7a87, scb id: dec: 3376400480, hex: 0xc93fc860
user id: dec: 1343598755, hex: 0x5015b0a3, scb id: dec: 1413728355, hex: 0x5443c863
user id: dec: 4164990635, hex: 0xf840b6ab, scb id: dec: 784562272, hex: 0x2ec37860
user id: dec: 2577836441, hex: 0x99a6a999, scb id: dec: 291631200, hex: 0x1161f060
user id: dec: 1262451302, hex: 0x4b3f7a66, scb id: dec: 3602454627, hex: 0xd6b91863
user id: dec: 1194768846, hex: 0x4736b9ce, scb id: dec: 3410600032, hex: 0xcb49a060

******** group idx: 0, burst idx: 3, slot idx: 1 ********
user id: dec: 2550446126, hex: 0x9804b82e, scb id: dec: 2942036069, hex: 0xaf5be865
user id: dec: 2772458122, hex: 0xa5405a8a, scb id: dec: 2674059366, hex: 0x9f62e866
user id: dec: 1838681610, hex: 0x6d980e0a, scb id: dec: 1828927588, hex: 0x6d033864
user id: dec: 2263592200, hex: 0x86ebad08, scb id: dec: 2463486054, hex: 0x92d5d066
